name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Chicago,United States",9/1/2021,76.6,66.7,73.1,76.6,66.7,73.1,55.4,54.3,0,0,0,,0,0,27.4,17.3,47.1,1013.6,52,9.9,125.4,6.1,5,,2021-09-01T06:16:31,2021-09-01T19:23:35,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago,United States",9/2/2021,77.3,63.6,70.7,77.3,63.6,70.7,53.9,56.9,0,0,0,,0,0,,12.2,86.4,1018.9,55.4,9.9,160.4,8.1,5,,2021-09-02T06:17:33,2021-09-02T19:21:55,0.9,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72534014819,C8740,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago,United States",9/3/2021,75.4,65.1,70.6,75.4,65.1,70.6,55.1,58.4,0.003,100,4.17,rain,0,0,25.3,12.1,149.6,1017.7,88.7,9.9,89.1,4.5,2,,2021-09-03T06:18:34,2021-09-03T19:20:14,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72534014819,C8740,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago,United States",9/4/2021,73.3,66.6,70.5,73.3,66.6,70.5,59.8,69.2,0.027,100,8.33,rain,0,0,19.7,13.6,214.2,1011.7,94.1,9.8,47.4,2.3,1,,2021-09-04T06:19:36,2021-09-04T19:18:33,0.97,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago,United States",9/5/2021,82.8,60.4,71.8,81,60.4,71.4,52,54.4,0,0,0,,0,0,26.4,16.5,279.8,1011.4,20.7,9.9,149.4,7.5,6,,2021-09-05T06:20:38,2021-09-05T19:16:51,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,F7086,74466504838,KPWK"
"Chicago,United States",9/6/2021,79.5,61.6,71.9,79.5,61.6,71.9,53.1,53.1,0,0,0,,0,0,17.2,11.5,82.6,1012.6,29.4,9.9,140.5,7.1,6,,2021-09-06T06:21:40,2021-09-06T19:15:09,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,F7086,74466504838,KPWK"
"Chicago,United States",9/7/2021,89.3,67.1,73.8,89,67.1,73.8,61,66.1,0.082,100,20.83,rain,0,0,42.6,26,225.2,1007,50.2,9.8,105.9,5.5,4,,2021-09-07T06:22:42,2021-09-07T19:13:26,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72534014819,C8740,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago,United States",9/8/2021,80.1,59,69.8,79.4,59,69.8,49.3,50.5,0,0,0,,0,0,31.4,19.1,301,1009,32.6,9.9,142.1,7,6,,2021-09-08T06:23:43,2021-09-08T19:11:43,0.01,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72534014819,C8740,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago,United States",9/9/2021,75.5,58.5,67.4,75.5,58.5,67.4,50.2,55.7,0,0,0,,0,0,19.7,8.8,14.7,1014.8,31.9,9.9,138.6,6.8,6,,2021-09-09T06:24:45,2021-09-09T19:10:00,0.04,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72534014819,C8740,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago,United States",9/10/2021,79.8,60.1,70.3,79.8,60.1,70.3,50.9,52.2,0,0,0,,0,0,21.6,11.8,215.2,1016.9,39.3,9.9,142.4,7.1,6,,2021-09-10T06:25:47,2021-09-10T19:08:16,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,C8740,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
